,tweet_cleaned,subjectivity,polarity,sentiment
0,key marginal constituency be target during last year general election with Facebook advert use public money,0.4083333333333333,0.012500000000000004,Positvie
1,Day Post Election Cases Total States Active Cases Victories,0.675,-0.06666666666666667,Negative
2,will celebrate big time if this guy go down sorosthesnake,0.19444444444444448,-0.07777777777777779,Negative
3,the medium be just as corrupt as the Election,1.0,-0.5,Negative
4,a group of former republican national security official be call on republican leader particularly those in Congress,0.16666666666666666,0.08333333333333333,Positvie
5,every sane american know this election be rig against President Trump,0.0,0.0,Positvie
6,President Trump and other Republicans have file over lawsuit across swing state in attempt to contest election result,0.375,-0.125,Negative
7,Lara Trump admit Trump be try to get state legislature to steal the election via,0.0,0.0,Positvie
8,Abe Lincoln would have approve of this article explain the election dispute as honest as be maybe more so,0.7,0.55,Positvie
9,Georgia approve emergency rule for absentee ballot,0.0,0.0,Positvie
10,NEW GOP Sen Rob Portman of Ohio write in Cincinnati Enquirer op ed that there be no evidence as of now of any widesp,0.45454545454545453,0.13636363636363635,Positvie
11,ElectionGuard Microsoft VotingWorks amp Arlo Soros Zuckerburg Bezos Gates Google etc Dominion Canada Scytl Irel,0.0,0.0,Positvie
12,trump campaign take Pennsylvania election fight to federal appeal court,0.0,0.0,Positvie
13,the Supreme Court will ultimately decide this election the election be not even until December the SC rule against Gore in in a ruling when the low blue court toss case be a win for with the President supermajority of start worry now,0.45000000000000007,0.2,Positvie
14,POR FAVOR COMPARTE PARA QUE LAS PERSONAS PUEDAN TOMAR CONCIENCIA DE LO QUE REALMENTE está ACONTECIE,0.0,0.0,Positvie
15,wait the election be still go on,0.0,0.0,Positvie
16,Republicans believe some vague voter fraud cost pa in very first presidential election in a period of fea,0.4666666666666667,-0.0875,Negative
17,Loeffler steal the election from should have be Collins write in Collins,0.0,0.0,Positvie
18,George Soros ARRESTADO en Filadelfia por Interferencia Electoral,0.0,0.0,Positvie
19,,0.0,0.0,Positvie
20,republican national security expert demand GOP admit trump loss,0.0,0.0,Positvie
21,bbg Pennsylvania Republicans sue to block certification of election result,0.0,0.0,Positvie
22,a dozen compelling allegation of voting irregularity in election just the News,0.6,0.3,Positvie
23,this man be do honest skillful hard decent work to feed amp earn such little money to also feed family but in America a crooked like Giuliani defend Trump amp help to steal election can make k per day what this unfairness say about country,0.5347222222222222,0.04791666666666666,Positvie
24,either there be a vast conspiracy to steal the election from Trump involve Germans and Soros anf the ghost of Hugo Cha,1.0,0.0,Positvie
25,big deal union election petition file at Fulfillment Center in Alabama by potential worker in the b,0.39999999999999997,-0.03333333333333333,Negative
26,medium gaslighte that widespread fraud must have occur to doubt election outcome that be not the legal standard,0.1,0.1,Positvie
27,seem to that when trump say if lose be rig mean the election be rig for biden vote to flip to trump,0.6875,-0.3125,Negative
28,Can acknowledge how pathetic be be even in the position where certify valid election result be an open q,0.75,-0.5,Negative
29,Michigan Bureau of Elections Board meet to certify the state election result live at ET on C SPAN,0.5,0.13636363636363635,Positvie
30,the news media use to defend freedom of speech as essential to maintain republic now the idea that conservative,0.3,0.0,Positvie
31,break State Elections Board in Georgia adopt new rule require county to start scan absentee ballot at least,0.42727272727272725,-0.08181818181818182,Negative
32,Hay what happen to all the election interference guess Trump get another problem fix add that to the check box,0.0,0.0,Positvie
33,be possible be try to circumvent SCOTUS by prevent certification with a monkey wrench approach thereby throw the election to the House or force SCOTUS to intervene at a later stage on a different question more palatable to the trump bloc on SCOTUS,0.42000000000000004,0.09,Positvie
34,not long until the election for the next mayor of London not that be count the day or anything,0.2,0.0125,Positvie
35,good to know show trump how much support and not the deep state by refuse to participate in this corrupt election God be good,0.56,0.21999999999999997,Positvie
36,George Soros arrest in Philadelphia for Election Interference Judge Orders Media blackout,0.0,-0.05,Negative
37,each follow example by leave office peacefully no matter how contentious the election campaign may have be,0.5,-0.125,Negative
38,with all of the lie about voter fraud be seditiously spread by MAGA regime to overturn an election no one talk ab,0.0,0.0,Positvie
39,Certifying Detroit and Michigan election become national battle,0.0,0.0,Positvie
40,breaking Mohave County a very red Trump county have just unanimously vote to certify canvass all Arizona count,0.0,0.0,Positvie
41,election fraud be too important to be leave to conspiracy theorist,1.0,0.4,Positvie
42,Michigan Bureau of Elections Board meet to certify the state election result live at ET on C SPAN,0.5,0.13636363636363635,Positvie
43,trump news live top ally break rank and demand transition as ceo and defence expert turn on White House SmartNews,0.475,-0.04090909090909092,Negative
44,Isko koe samja doe kashmir nahi milega Aur na hi congress election jeet payega pkmkb,0.0,0.0,Positvie
45,Milwaukee County election official say the recount be move slowly because Trump attorney have be constantly interrup,0.36666666666666664,-0.15000000000000002,Negative
46,the only fraud involve with this election be the fraud have commit by claim massive voter fraud,1.0,0.0,Positvie
47,Destroyed Election the big picture Goggle Earth More Evidence of Corruption mile outside of each Voting location switching Votes do remotely inside park truck or empty home apt amp warehouse equip with computer screen flip and Changing vote,0.39166666666666666,0.15,Positvie
48,Cindy McCain the election have happen election have consequence Biden have win Biden will be next President htt,0.2,0.4,Positvie
49,make no mistake Donald Trump know lose the election just want to destroy democracy before leave office a,0.0,-0.2,Negative
50,Unos de los titiriteros del mal cayó ante la luz de el mundo cayo tu padre envíale una cartita de navidad por viejo podrido George Soros arrest in Philadelphia for Election Interference Judge Orders Media blackout,0.0,-0.05,Negative
51,all aboard come join to support demand transparency and protect election integrity Fight,0.0,0.0,Positvie
52,the problem be not just trump or enabler who refuse to stand up to attempt overthrow of an election have turn te,0.0,0.0,Positvie
53,emergency if live in Georgia especially if be an african american woman CHECK your voter registration t,0.16666666666666666,0.04545454545454545,Positvie
54,yep the excuse that the snorter will use for max effect when in actual fact have have several year and countless option to get this sorted early election in Defo vote of no confidence in BoJo come,0.19,0.01,Positvie
55,except Russia do hack the election and this should not be news to a former DNI,0.0,0.0,Positvie
56,George Soros ARRESTADO por interferencia electoral bajo custodia federal George Soros ARRESTED for electi,0.0,0.0,Positvie
57,can not match ballot back to envelope because quite literally impossible and the law in Georgia to have a secure election to protect voter identity after the ballot have be separate,0.5333333333333333,-0.08888888888888886,Negative
58,George Soros arrest in Philadelphia for Election Interference Judge Orders Media blackout,0.0,-0.05,Negative
59,emergency if live in Georgia especially if be an african american woman CHECK your voter registration t,0.16666666666666666,0.04545454545454545,Positvie
60,be not possible to disagree more with this misguided Trump Hater look at just the hellacious statistical anomaly o,0.75,0.25,Positvie
61,the medium be just as corrupt as the Election,1.0,-0.5,Negative
62,message to and come the next election no one be go to worry that the government act too aggr,0.0,0.0,Positvie
63,so frustrating to watch this Cindy McCain react to GOP lawmaker not publicly acknowledge the election result,0.48333333333333334,-0.2,Negative
64,EFF will never win an election because do not listen to South Africans South Africa want EFF in power but EFF seem,0.4,-0.4,Negative
65,right after the election be supposedly alarmist fantasy even to suggest that Trump be try to steal the electi,0.5357142857142857,0.2857142857142857,Positvie
66,the medium be just as corrupt as the Election,1.0,-0.5,Negative
67,hope see the election certify be so sick of the GOP traitorous action,0.47857142857142854,-0.30714285714285716,Negative
68,call for the resignation of South Carolina Senator Lindsey Graham for the crime of election interference if sta,0.0,0.0,Positvie
69,the White House say Trump be deny a peaceful transfer of power reminder Hillary Clinton concede the day after Elec,0.25,0.125,Positvie
70,do not care about the fact want to delay to cast doubt and undermine democracy there be no legal basis,0.2,-0.1,Negative
71,sell out the country be exactly what try to overturn an election be,0.25,0.25,Positvie
72,these baseless challenge to the election combine with Trump attempt to burn thing down on way out the door be the only attack on democracy go on right now perhaps need to pay well attention,0.6082010582010583,0.04338624338624337,Positvie
73,Georgia voting system manager say in press conference will remind everybody that Krakens be myth,0.0,0.0,Positvie
74,do not get why Trump cut Sidney Powell loose how be any less warped or tragic than any other of case or at,0.36522435897435895,-0.2796474358974359,Negative
75,no but there should be a mp pay freeze until the next election,0.0,0.0,Positvie
76,Stephen Schwarzman President Donald Trump most high profile supporter on Wall Street say today that time for,0.52,0.33,Positvie
77,can all just sit and ponder the power of Destiel be such that pierce through the most vicious election night amp,0.6666666666666666,-0.16666666666666666,Negative
78,Sleepy Joe do not have the spine for the election fraud fight and Amazing ACB,0.9,0.6000000000000001,Positvie
79,Mike Pompeo help cover up the Khashoggi murder assist in the Ukraine extortion plot support Trump attempt t,0.0,0.0,Positvie
80,make no mistake Donald Trump know lose the election just want to destroy democracy before leave office a,0.0,-0.2,Negative
81,icymi the three ex governor who appoint all four current state canvasser agree Michigan should certify election,0.4,0.0,Positvie
82,on a call with GOP donor David Perdue and Kelly Loeffler privately describe President as a political b,0.2375,0.0,Positvie
83,so be correct that the GOP official position be the Dems carry out a massive sophisticated multi state election fra,1.0,0.25,Positvie
84,Ur husband seem to think have win some election pls tell the media be not wait outside to congratu,0.225,0.4,Positvie
85,,0.0,0.0,Positvie
86,Bill Pascrell have file legal complaint in five state seek to disbar Rudy Giuliani and other attorney who h,0.25833333333333336,-0.075,Negative
87,if China think will forget by arrest forget as Wong say be persuade that neith,0.0,-0.05,Negative
88,bbg Pennsylvania Republicans sue to block certification of election result,0.0,0.0,Positvie
89,THREATS in an election that be PERFECT the election include now threat between lawyer,1.0,1.0,Positvie
90,a few month before the Election be at a baggage claim at an airport near Naples FL and overheard two affluent look,0.48333333333333334,0.18333333333333332,Positvie
91,do not wanna certify this election candidate actually win,0.4,0.8,Positvie
92,President Trump and other Republicans have file over lawsuit across swing state in attempt to contest election result,0.375,-0.125,Negative
93,FLASHBACK in President Trump attack Carrots the turkey for refuse to concede have lose the vote on the White House,0.0,0.0,Positvie
94,election fight in MI amp GA boil down vote in DET amp ATL basically will not change the outcome will not win but thi,0.34444444444444444,-0.2777777777777778,Negative
95,common sense do not destroy ballot refuse audits and have big tech censor citizen because act hone,0.19999999999999998,-0.06666666666666667,Negative
96,seem to that when trump say if lose be rig mean the election be rig for biden vote to flip to trump,0.6875,-0.3125,Negative
97,look forward to the election integrity fight ahead COUNT all LEGAL vote,0.2,0.2,Positvie
98,арестован Джордж Сорос,0.0,0.0,Positvie
99,,0.0,0.0,Positvie
100,the Left have be shout about the need for evidence in these election fraud claim agree that evidence be need,0.0,0.0,Positvie
101,گلگت چنار باغ میں شدید ہوائی فارئنگ حالات خراب on the directive of FederalMinister AliAminGandapur amp Election Commis,0.0,0.0,Positvie
102,every sane american know this election be rig against President Trump,0.0,0.0,Positvie
103,late from Gilgit Baltistan protester set vehicle on fire after be forcibly evict from protest site outside Ele,0.55,0.06666666666666667,Positvie
104,why be not trump use of phony election fraud claim to incite the public against the elect government see a,0.48333333333333334,0.4,Positvie
105,after of Wayne County precinct be unbalanced in August DEMOCRATS on the Michigan Board of Canvassers call,0.0,0.0,Positvie
106,have say this after every election amp will keep say the people who reject this bullshit entirely be the large,0.5267857142857143,0.10714285714285714,Positvie
107,business leader be urge trump to acknowledge Biden as the winner of the election and start a transition process,0.0,0.0,Positvie
108,in Nevada when stop count on election night be close other state stop trump lead pa k,0.375,-0.125,Negative
109,have reach a point where depend on what time of day be watch Fox News may or not know Joe Biden win the elec,0.4,0.8,Positvie
110,how bad do something have to be in order to register as an embarrassment to Chris Christie,0.6666666666666666,-0.6999999999999998,Negative
111,have be hear that the GOP be purge voter in Georgia especially black woman bc fear that will lose co,0.8666666666666667,-0.3333333333333333,Negative
112,America need a special counsel to investigate election integrity Stat,0.5714285714285714,0.35714285714285715,Positvie
113,dear medium another reason to cover the Michigan certification as a potential criminal conspiracy to overturn an election,0.775,-0.2,Negative
114,FLASHBACK in President Trump attack Carrots the turkey for refuse to concede have lose the vote on the White House,0.0,0.0,Positvie
115,dear Georgia Dems please defy the expactation of the voter suppression thug the way do in the general electio,0.5,0.05000000000000002,Positvie
116,really hope do other newly elect Senator be already a laugh stock only take two day after the election could have have Doug Jones,0.515,0.23500000000000001,Positvie
117,GupkarGang अब,0.0,0.0,Positvie
118,election be not hack in stop push fake news Russians once again push propaganda largely in so,0.5095238095238096,-0.12857142857142856,Negative
119,Fox News favorability have tumble among Republicans since Election Day from late Dec thru November of Republicans,0.6,-0.3,Negative
120,Former Trump official John Bolton need all of leader,0.0,0.0,Positvie
121,do see the Plot against America miniserie adapt from the philip roth novel john turturro character play this exact role a fame seeking rabbi whose endorsement of the regime be highly publicize give white moderate permission to vote nazi in the election,0.37249999999999994,0.10250000000000001,Positvie
122,Ojalá que sea así y que le cierren sus operacione sucia George Soros arrestado en Filadelfia por interferencia electora,0.0,0.0,Positvie
123,Benjamin Ginsberg represent George Bush in Michigan must certify for Biden duty be clear and tear,0.3833333333333333,0.10000000000000002,Positvie
124,seem to that when trump say if lose be rig mean the election be rig for biden vote to flip to trump,0.6875,-0.3125,Negative
125,the former governor speak about the pathetic and cowardly unwillingness to contradict Trump who still refuse,0.5,-0.5,Negative
126,honor the voice of Pennsylvania voter this lawsuit be desperate,1.0,-0.6,Negative
127,BREAKING gbwatch Govt vehicle amp property attack to protest election rig in Gilgit Baltistan GB g,0.0,0.0,Positvie
128,George Soros arrêté à Philadelphie pour ingérence dan les élection américaine Le juge demande la totale confident,0.8333333333333334,0.5,Positvie
129,medium gaslighte that widespread fraud must have occur to doubt election outcome that be not the legal standard,0.1,0.1,Positvie
130,this have be build before the election this be TRUMP America,0.0,0.0,Positvie
131,how many time can one man lose before concede the election the answer friend be golf yet again the answer be gol,0.5,0.5,Positvie
132,election Dholpur नगर आज Dholpurmodel Rajasth,0.0,0.0,Positvie
